 Cambodia,28
 Canada,182
 China,122
 Columbia,85
 Cuba,138
 Dominican-Republic,103
 Ecuador,45
 El-Salvador,155
 England,127
 France,38
 Germany,206
 Greece,49
 Guatemala,88
 Haiti,75
 Holand-Netherlands,
 Honduras,20
 Hong,30
 Hungary,19
 India,151
 Iran,59
 Ireland,37
 Italy,105
 Jamaica,106
 Japan,92
 Laos,23
 Mexico,951
 Nicaragua,49
 Outlying-US(Guam-USVI-etc),23
 Peru,46
 Philippines,295
 Poland,87
 Portugal,67
 Puerto-Rico,184
 Scotland,21
 South,115
 Taiwan,65
 Thailand,30
 Trinadad&Tobago,27
 United-States,43832
 Vietnam,86
 Yugoslavia,23
Cambodia,22
Canada,21
China,20
Columbia,29
Cuba,28
Dominican-Republic,10
Ecuador,17
El-Salvador,23
England,16
France,23
Germany,13
Greece,18
Guatemala,26
Haiti,22
Holand-Netherlands,21
Honduras,18
Hong,28
Hungary,23
India,29
Iran,15
Ireland,23
Italy,23
Jamaica,27
Japan,26
Laos,20
Mexico,22
Outlying-US(Guam-USVI-etc),22
Peru,19
Philippines,23
Poland,21
Portugal,19
Scotland,29
South Africa,23
Taiwan,27
Thailand,25
Trinadad&Tobago,21
United-States,19
Vietnam,19
Yugoslavia,27